id,statenme,ccode,_merge
4,Afghanistan,700,matched (3)
8,Albania,339,matched (3)
12,Algeria,615,matched (3)
16,American Samoa,,master only (1)
20,Andorra,232,matched (3)
24,Angola,540,matched (3)
660,Anguilla,,master only (1)
10,Antarctica,,master only (1)
28,Antigua & Barbuda,58,master only (1)
32,Argentina,160,matched (3)
51,Armenia,371,matched (3)
533,Aruba,,master only (1)
36,Australia,900,matched (3)
40,Austria,305,matched (3)
31,Azerbaijan,373,matched (3)
44,Bahamas,31,matched (3)
48,Bahrain,692,matched (3)
50,Bangladesh,771,matched (3)
52,Barbados,53,matched (3)
112,Belarus,370,matched (3)
56,Belgium,211,matched (3)
84,Belize,80,matched (3)
204,Benin,434,matched (3)
60,Bermuda,,master only (1)
64,Bhutan,760,matched (3)
68,Bolivia,145,master only (1)
535,"Bonaire, Sint Eustatius and Saba",,master only (1)
70,Bosnia and Herzegovina,346,matched (3)
72,Botswana,571,matched (3)
74,Bouvet Island,,master only (1)
76,Brazil,140,matched (3)
86,British Indian Ocean Territory,,master only (1)
96,Brunei,835,master only (1)
100,Bulgaria,355,matched (3)
854,Burkina Faso,439,matched (3)
108,Burundi,516,matched (3)
116,Cambodia,811,matched (3)
120,Cameroon,471,matched (3)
124,Canada,20,matched (3)
132,Cape Verde,402,matched (3)
136,Cayman Islands,,master only (1)
140,Central African Republic,482,matched (3)
148,Chad,483,matched (3)
152,Chile,155,matched (3)
156,China,710,matched (3)
162,Christmas Island,,master only (1)
166,Cocos (Keeling) Islands,,master only (1)
170,Colombia,100,matched (3)
174,Comoros,581,matched (3)
178,Congo,484,matched (3)
180,Democratic Republic of the Congo,490,master only (1)
184,Cook Islands,,master only (1)
188,Costa Rica,94,matched (3)
191,Croatia,344,matched (3)
192,Cuba,40,matched (3)
531,Curaäao,,master only (1)
196,Cyprus,352,matched (3)
203,Czech Republic,316,matched (3)
384,Ivory Coast,437,master only (1)
208,Denmark,390,matched (3)
262,Djibouti,522,matched (3)
212,Dominica,54,matched (3)
214,Dominican Republic,42,matched (3)
218,Ecuador,130,matched (3)
818,Egypt,651,matched (3)
222,El Salvador,92,matched (3)
226,Equatorial Guinea,411,matched (3)
232,Eritrea,531,matched (3)
233,Estonia,366,matched (3)
231,Ethiopia,530,matched (3)
238,Falkland Islands (Malvinas),,master only (1)
234,Faroe Islands,,master only (1)
242,Fiji,950,matched (3)
246,Finland,375,matched (3)
250,France,220,matched (3)
254,French Guiana,,master only (1)
258,French Polynesia,,master only (1)
260,French Southern Territories,,master only (1)
266,Gabon,481,matched (3)
270,Gambia,420,matched (3)
